transformation,count,max_correlation,mean_correlation
original_original,50,0.696224093348917,0.39144437640327495
original_log,50,0.6884103516020282,0.38258731809694185
original_sqrt,50,0.6942509547784176,0.38174101687040335
original_square,50,0.6941735849478021,0.3784283724329317
original_inverse,50,0.6651540021932605,0.39355386315111235
log_original,50,0.8825416284644667,0.40034306155509225
log_log,50,0.6961347894031037,0.39546589647585245
log_sqrt,50,0.740113934290306,0.3957298743965033
log_square,50,0.9872125205797501,0.387268417364216
log_inverse,50,0.6679440274944309,0.39310748309022503
sqrt_original,50,0.7028533396171394,0.3912572323853491
sqrt_log,50,0.6923411171577099,0.3878445536523576
sqrt_sqrt,50,0.6995253663127448,0.3854058394099687
sqrt_square,50,0.6980193753337588,0.3760527129435941
sqrt_inverse,50,0.6665263602659975,0.3963523055185124
square_original,50,0.6768999681166885,0.3714205745420782
square_log,50,0.6718363437623183,0.3622811576081223
square_sqrt,50,0.6751423560499259,0.36290744907002176
square_square,50,0.7072780470807188,0.3652527416387185
square_inverse,50,0.6536149077102646,0.37230963628860403
inverse_original,50,0.886158405345846,0.410419359172065
inverse_log,50,0.6840422098976718,0.40272431769822553
inverse_sqrt,50,0.7450866146249443,0.40662911294591936
inverse_square,50,0.9886915020745417,0.3981729387668236
inverse_inverse,50,0.651068778942239,0.3970088701374641
