cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,square,0.3165947669269309,0.3165947669269309,415,0.37049071119460525,-0.053895944267674356
2011-2012,BPXDI4,BMXSAD1,Diastolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,square,0.3157408313122152,0.3157408313122152,415,0.3087978953612319,0.0069429359509832755
2011-2012,BMXARML,SMQ830,Upper Arm Length (cm),# days used nicotine quit smoking aids?,body_measures,smoking,True,square,square,0.31544738123596866,0.31544738123596866,32,0.3127757422730815,0.002671638962887135
2011-2012,BPXDI4,BMXSAD2,Diastolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,square,square,0.3141112563828455,0.3141112563828455,415,0.3083687923415817,0.005742464041263773
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,square,square,0.3120936897918061,0.3120936897918061,415,0.36596712191112835,-0.05387343211932227
2011-2012,BPXDI4,BMXWT,Diastolic: Blood pres (4th rdg) mm Hg,Weight (kg),blood_pressure,body_measures,True,square,square,0.30921709941483827,0.30921709941483827,443,0.31206921370530954,-0.002852114290471275
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,square,0.3024085309015975,0.3024085309015975,427,0.35994758889445067,-0.05753905799285314
2011-2012,BPXML1,SMQ830,MIL: maximum inflation levels (mm Hg),# days used nicotine quit smoking aids?,blood_pressure,smoking,True,square,square,0.30130702289087324,0.30130702289087324,32,0.28839833522410674,0.012908687666766505
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,square,0.3009599219185835,0.3009599219185835,6684,0.3409568870253039,-0.039996965106720406
2011-2012,DPQ090,ALQ141Q,Thought you would be better off dead,# days have 4/5 drinks - past 12 mos,mental_health,alcohol,True,square,square,0.2985692579180871,0.2985692579180871,3325,0.1977255867984599,0.10084367111962719
