cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,SMQ800,BMXSAD1,#days used chewing tobacco -last 5 days,Sagittal Abdominal Diameter 1st (cm),smoking,body_measures,True,square,inverse,-0.334466924883592,0.334466924883592,59,0.31137520296160315,0.023091721921988828
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,square,inverse,0.33347047978531524,0.33347047978531524,61,0.34806946089461654,-0.014598981109301301
2011-2012,PAD630,SMQ670,Minutes moderate-intensity work,Tried to quit smoking,physical_activity,smoking,True,square,inverse,0.33334377438656887,0.33334377438656887,38,0.17122484962350557,0.1621189247630633
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,square,inverse,0.3298859141040032,0.3298859141040032,32,0.33487793241617014,-0.004992018312166946
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,inverse,-0.3293115110505653,0.3293115110505653,6853,0.33683674495467236,-0.007525233904107087
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,square,inverse,0.3274707526862229,0.3274707526862229,1685,0.4068386379299707,-0.07936788524374783
2011-2012,BPXDI4,BMXWT,Diastolic: Blood pres (4th rdg) mm Hg,Weight (kg),blood_pressure,body_measures,True,square,inverse,-0.3272782645678195,0.3272782645678195,443,0.31206921370530954,0.015209050862509954
2011-2012,BPXDI2,BMXSAD3,Diastolic: Blood pres (2nd rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,square,inverse,-0.32700142307098934,0.32700142307098934,375,0.2605571168021218,0.06644430626886755
2011-2012,SMQ800,BPXSY3,#days used chewing tobacco -last 5 days,Systolic: Blood pres (3rd rdg) mm Hg,smoking,blood_pressure,True,square,inverse,-0.3227922603451609,0.3227922603451609,63,0.28532720878282586,0.03746505156233504
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,inverse,-0.32250243160092806,0.32250243160092806,6694,0.3263123422644561,-0.0038099106635280378
2011-2012,BPXSY4,LBXTT3,Systolic: Blood pres (4th rdg) mm Hg,"Triiodothyronine (T3), total (ng/dL)",blood_pressure,laboratory,True,square,inverse,0.31914748387408276,0.31914748387408276,119,0.30862824080366696,0.010519243070415796
2011-2012,BPXSY1,BMXBMI,Systolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,square,inverse,-0.3132291075701515,0.3132291075701515,6682,0.3015749534523539,0.011654154117797577
2011-2012,LBXTT3,BMXSAD3,"Triiodothyronine (T3), total (ng/dL)",Sagittal Abdominal Diameter 3rd (cm),laboratory,body_measures,True,square,inverse,0.3108996879678493,0.3108996879678493,102,0.1975527421298162,0.11334694583803309
2011-2012,BMXSAD2,SMQ800,Sagittal Abdominal Diameter 2nd (cm),#days used chewing tobacco -last 5 days,body_measures,smoking,True,square,inverse,-0.3040066662747001,0.3040066662747001,59,0.3200241273375962,-0.016017461062896143
