cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.35514193623853996,0.35514193623853996,6853,0.33683674495467236,0.018305191283867595
2011-2012,BMXHT,BPXDI2,Standing Height (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.3545056571706313,0.3545056571706313,6846,0.35024961797753357,0.004256039193097749
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.34613316486720924,0.34613316486720924,6694,0.3263123422644561,0.01982082260275314
2011-2012,BPXML1,BMXWAIST,MIL: maximum inflation levels (mm Hg),Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,original,0.34570187375685363,0.34570187375685363,6761,0.3286226455011095,0.01707922825574415
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.3444859536697454,0.3444859536697454,6686,0.335225637029223,0.009260316640522404
2011-2012,SMQ670,ALQ141Q,Tried to quit smoking,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,sqrt,original,0.3443324004395854,0.3443324004395854,67,0.34433240043958563,-2.220446049250313e-16
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.344178174876181,0.344178174876181,6684,0.3409568870253039,0.003221287850877108
2011-2012,BMXARML,BPXDI2,Upper Arm Length (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.3412520300104992,0.3412520300104992,6677,0.33590404677011887,0.005347983240380327
2011-2012,BMXARML,DR1TKCAL,Upper Arm Length (cm),Energy (kcal),body_measures,dietary,True,sqrt,original,0.34077683766687256,0.34077683766687256,8124,0.34102080259728473,-0.00024396493041217715
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.34033444062708623,0.34033444062708623,6534,0.33056293245460466,0.009771508172481569
2011-2012,BPXSY4,PAD615,Systolic: Blood pres (4th rdg) mm Hg,Minutes vigorous-intensity work,blood_pressure,physical_activity,True,sqrt,original,-0.3400653697954108,0.3400653697954108,41,0.32119980548431726,0.01886556431109354
2011-2012,BPXSY1,SMQ830,Systolic: Blood pres (1st rdg) mm Hg,# days used nicotine quit smoking aids?,blood_pressure,smoking,True,sqrt,original,0.3396669900815951,0.3396669900815951,32,0.3365082670773893,0.0031587230042058323
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,sqrt,original,-0.33812781473309955,0.33812781473309955,32,0.33487793241617014,0.003249882316929409
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.3357027609093501,0.3357027609093501,6532,0.33221034612960876,0.0034924147797413263
2011-2012,BPXDI1,BMXARML,Diastolic: Blood pres (1st rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,sqrt,original,0.33340147803387044,0.33340147803387044,6532,0.3570349960033366,-0.023633517969466167
2011-2012,BMXSAD2,SMQ800,Sagittal Abdominal Diameter 2nd (cm),#days used chewing tobacco -last 5 days,body_measures,smoking,True,sqrt,original,0.33211081983371676,0.33211081983371676,59,0.3200241273375962,0.012086692496120544
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,original,0.32427615140736626,0.32427615140736626,6466,0.3683865428505843,-0.044110391443218044
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.321376515542745,0.321376515542745,6842,0.3057030820951946,0.0156734334475504
2011-2012,BMXARMC,BPXDI4,Arm Circumference (cm),Diastolic: Blood pres (4th rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.31821025231698985,0.31821025231698985,430,0.31279993615389845,0.0054103161630914
