cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,log,original,-0.3402690242516831,0.3402690242516831,32,0.33487793241617014,0.005391091835512951
2011-2012,URXMU4,BMXSAD3,"1,3-dimethyluric acid (umol/L)",Sagittal Abdominal Diameter 3rd (cm),laboratory,body_measures,True,log,original,0.3397051357554788,0.3397051357554788,117,0.21939708179524411,0.12030805396023467
2011-2012,BMXARML,DR1TKCAL,Upper Arm Length (cm),Energy (kcal),body_measures,dietary,True,log,original,0.3394993929167417,0.3394993929167417,8124,0.34102080259728473,-0.00152140968054304
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,original,0.3386878291564143,0.3386878291564143,6532,0.33221034612960876,0.006477483026805564
2011-2012,SMQ800,ALQ141Q,#days used chewing tobacco -last 5 days,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,log,original,-0.3373216233767184,0.3373216233767184,47,0.2833297247379048,0.053991898638813596
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,original,0.33442184708258776,0.33442184708258776,6842,0.3057030820951946,0.028718764987393175
2011-2012,BPXSY1,BMXBMI,Systolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,log,original,0.3258184380154298,0.3258184380154298,6682,0.3015749534523539,0.0242434845630759
2011-2012,BMXWT,DR1TKCAL,Weight (kg),Energy (kcal),body_measures,dietary,True,log,original,0.3234591866666819,0.3234591866666819,8320,0.28845720851660234,0.03500197815007955
2011-2012,BPXSY4,BMXARMC,Systolic: Blood pres (4th rdg) mm Hg,Arm Circumference (cm),blood_pressure,body_measures,True,log,original,0.3232463858182967,0.3232463858182967,430,0.29499075216557424,0.028255633652722434
2011-2012,BMXARMC,BPXDI4,Arm Circumference (cm),Diastolic: Blood pres (4th rdg) mm Hg,body_measures,blood_pressure,True,log,original,0.3222612000264717,0.3222612000264717,430,0.31279993615389845,0.009461263872573233
2011-2012,SMQ800,BMXSAD1,#days used chewing tobacco -last 5 days,Sagittal Abdominal Diameter 1st (cm),smoking,body_measures,True,log,original,0.320039539777379,0.320039539777379,59,0.31137520296160315,0.00866433681577583
2011-2012,BPXSY4,BMXARML,Systolic: Blood pres (4th rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,log,original,0.31908268598429473,0.31908268598429473,430,0.2949753789106913,0.024107307073603423
